0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
7.543,4.5707,9.4941,8.7517,11.4805,9.9849,11.1515,4.6575,8.3837,4.6209,4.6034,5.4674,10.2469,8.623,6.3462,4.6224,5.56,9.0198,10.7739,11.2014,10.1598,4.6869,5.0117,10.8194,5.688,4.654,7.4991,9.0613,4.7099,9.0223,8.7301,5.1972,12.7338,9.8955,7.4464,4.7614,9.2985,4.4348,9.7751,6.9797,5.5169,8.5962,8.2812,5.2668,4.4563,6.5884,5.7047,16.1742,11.5185,0.0
7.8105,4.7186,8.8511,10.7115,13.7149,10.6125,12.4171,4.4671,8.606,4.6562,4.9151,5.3052,7.771,9.287,5.6608,4.738,7.5368,7.903,10.0537,12.3189,9.6568,4.9178,5.4597,10.4381,5.7881,4.5526,8.3864,6.9705,4.4797,11.0261,5.5488,5.1833,13.2262,11.1946,7.2628,5.76,9.2144,4.3783,10.2184,5.0926,6.5331,6.1183,9.9035,5.8503,4.3056,7.2741,5.869,16.6131,10.7059,1.0
8.9349,6.1598,9.7202,10.093,12.5589,11.4592,10.0957,5.6546,7.352,6.1878,5.7781,6.1132,8.4828,9.8511,6.0764,5.9079,7.5743,8.8249,10.8909,13.0573,9.7095,5.9524,6.6233,9.5814,6.7472,5.6515,8.8811,7.7061,5.7681,10.451,8.1927,5.8563,13.5406,11.8223,7.1856,6.183,7.9558,5.516,10.27,5.5229,7.0001,7.7141,9.0287,6.3141,5.6608,8.1539,6.2869,14.6671,11.3546,1.0
8.5467,5.9951,9.131,9.8144,12.1188,11.1329,12.2665,6.0132,7.9578,6.0076,6.7361,5.8754,9.8179,9.429,6.3179,5.9663,7.4609,8.4858,10.7639,12.3985,9.128,5.8907,6.662,11.4341,6.6109,6.2608,8.0871,7.436,5.6368,10.2927,6.266,6.1889,12.0719,10.6232,8.2657,6.3532,9.2161,5.7708,10.5602,6.0799,6.4318,7.9267,8.8622,6.6608,5.9273,7.7366,7.265,16.0114,11.1906,0.0
9.4385,5.6221,9.7535,9.2414,11.5422,11.5963,9.2675,5.4453,7.4014,5.7334,5.4149,5.5689,9.4437,9.1472,6.0285,5.5091,7.7421,9.0097,10.8265,12.2121,10.2455,5.7439,6.2235,8.9169,7.6308,5.2876,7.9708,7.915,5.4337,10.2416,9.3959,5.7243,12.9587,11.2537,7.5535,6.0061,7.8994,5.3795,10.2558,5.4505,6.0326,10.0031,9.0636,5.874,5.5757,7.4287,6.0207,14.8607,12.0063,1.0
8.8431,6.2057,9.501,9.7364,12.7043,11.5663,11.6562,5.9406,8.1544,6.2195,6.4798,5.9659,7.9883,9.2728,5.9676,6.1918,8.0348,8.6371,11.4778,12.1157,9.8128,6.7942,7.0499,10.6774,7.4278,6.0236,8.5778,7.441,6.0222,10.0803,6.501,6.1531,12.2118,10.5409,8.6598,6.2927,8.8839,5.9073,10.927,5.8355,6.683,8.1259,9.8639,6.7967,5.9007,7.6513,7.4756,16.2259,10.8608,1.0
8.2328,6.4303,9.5949,8.8139,13.5357,11.1251,10.3485,5.6861,8.95,5.7569,5.6564,5.9729,7.8777,8.4479,6.6355,5.7485,6.1303,8.5904,10.6578,11.2067,9.883,5.9367,6.6341,9.3083,7.1012,5.6678,8.1636,7.421,5.5316,9.2437,9.2229,5.9348,10.6022,9.7315,7.93,6.1317,9.1588,5.822,8.8119,5.4917,6.747,7.1965,9.7021,6.4052,5.7961,6.8701,6.6828,17.1393,11.7778,0.0
8.9961,6.0539,9.8612,10.5521,11.363,11.2033,11.2197,4.4524,7.8342,4.9894,4.6439,4.6555,7.2813,9.8601,5.9371,4.8002,7.9911,8.4777,10.1625,13.8815,10.5657,4.9503,6.3647,9.2589,6.6638,4.4968,7.4692,6.7766,4.1027,11.1413,5.7921,4.9233,13.7996,11.7735,7.8236,5.9513,8.4424,4.2802,10.6038,4.1606,6.3516,7.6402,9.8418,5.5885,4.2246,8.2307,6.2232,16.1534,11.6655,0.0
7.2273,4.9102,7.7568,9.7548,12.5041,10.0023,11.9483,4.6333,9.2869,4.9835,4.5944,4.8595,7.0543,9.1098,5.6162,4.7496,6.0714,8.165,10.07,11.6947,10.0131,4.9626,5.2415,11.05,6.0872,4.7635,7.7136,7.2665,4.6224,10.1735,7.0704,4.7754,12.0739,10.5882,7.2178,5.455,9.0817,4.6705,9.3825,4.6019,5.303,6.5845,9.8614,5.7468,4.3917,6.9706,5.8494,16.8623,11.8533,0.0
9.2479,5.2737,9.7682,10.5276,12.7759,11.6272,9.9344,4.9488,8.0329,5.04,5.5287,5.3918,7.8383,8.91,5.2985,5.2346,7.8349,8.6086,10.8456,12.9808,10.0007,5.3023,6.1335,10.5226,7.3336,4.7341,7.7337,7.7425,5.8108,11.1393,5.6898,5.363,13.2351,11.6139,7.5131,6.1312,7.2376,4.6278,10.3003,4.9056,6.874,7.481,10.3386,5.3802,4.9309,7.1246,5.7591,14.6641,10.7208,1.0
7.6767,5.9783,7.7686,10.8701,11.1778,10.2543,10.5483,4.9509,8.5942,5.3731,5.019,5.0754,7.8845,9.8937,6.4125,5.468,6.846,7.8827,10.6877,12.1712,10.0265,5.4939,5.8163,8.968,5.9832,4.949,7.2341,8.4742,4.813,10.9389,6.5567,5.637,13.5287,11.3616,8.2353,5.7313,9.6081,5.0639,9.8187,4.9247,6.0269,10.8574,9.2059,6.4451,4.8182,7.6687,6.2788,16.3549,11.9755,0.0
8.3578,4.8413,9.9306,9.0601,13.1324,10.9803,9.851,4.5649,8.2463,5.1436,6.2235,4.8844,6.3627,8.5383,5.1799,5.2124,6.4016,8.1243,10.4102,11.746,10.735,5.2843,5.5078,8.679,7.4896,4.6337,7.7578,7.4106,4.487,9.8358,6.8736,5.4226,12.3645,10.5724,6.943,5.4222,8.2334,4.5116,9.7768,4.7608,5.9486,8.2994,9.4848,5.9924,4.323,7.2068,5.9211,15.8287,13.0931,0.0
8.7679,5.6282,10.1597,9.025,11.9764,10.8828,9.5714,5.1749,8.5082,5.6792,5.402,6.0206,8.8627,9.1062,6.4691,5.7074,7.1147,8.0614,10.3467,12.1555,10.2063,5.8145,6.118,9.6197,7.1816,5.3302,8.2976,6.9311,5.7014,10.2707,7.223,5.4494,13.2707,11.2409,6.9564,5.6611,8.7286,5.1332,10.7071,5.4726,7.8673,6.4151,9.4874,6.2032,5.2456,7.2583,6.2406,13.9254,10.7068,1.0
7.3515,4.7253,8.6661,9.7759,12.9831,11.3076,12.1966,4.7321,8.354,5.2048,4.6944,4.8456,7.0332,8.9905,6.3668,5.0113,6.1615,7.9741,10.6306,12.1283,9.7683,5.4637,5.6391,11.5656,6.5216,4.7635,7.7229,7.2605,4.9536,10.5141,8.7354,5.2677,12.2825,10.4827,7.2605,5.1751,8.5578,4.6385,9.8543,4.625,5.7881,7.1729,8.4194,5.7456,4.6213,7.1511,5.8331,16.4354,11.3615,0.0
6.5086,4.7808,7.8968,8.5747,11.3102,10.0419,12.029,4.7248,8.1366,5.1412,4.8973,4.9988,8.402,9.174,5.5999,5.1113,7.1352,7.5009,9.9711,10.9805,8.9411,5.6004,5.4948,10.7888,6.0097,4.7411,7.0682,7.428,5.0359,12.566,5.1316,6.1472,12.4575,10.4896,7.7049,5.0234,9.8762,4.7718,10.286,4.8241,8.8672,7.025,10.6206,5.7131,4.7218,6.9523,5.5831,17.0708,10.0571,1.0
7.9049,4.8788,7.057,7.4612,11.836,10.7332,9.298,4.8626,7.9983,5.2907,4.7716,7.4673,8.4337,7.2024,6.0981,5.0418,6.8612,8.035,9.8341,10.506,9.3325,5.448,5.6072,8.5118,6.3598,4.8689,6.9853,7.4126,4.5485,9.4501,5.5435,4.7823,10.2759,9.0787,8.2809,4.9357,8.7078,4.3325,10.7205,4.3858,8.2407,6.6728,9.418,5.8453,4.3968,5.7611,6.4385,16.3251,11.295,1.0
8.2162,6.3015,8.2609,10.3041,11.7772,11.0942,10.8827,5.9543,8.3481,6.216,5.9256,6.1768,9.2542,9.6014,6.9282,6.0035,6.9326,7.9314,10.7095,12.6739,9.7363,6.4803,6.77,8.7466,6.7913,6.0672,7.9423,7.5591,5.9857,10.8067,7.8835,5.9973,12.6438,10.8793,8.1464,6.1461,8.4415,6.0064,10.0403,5.7652,6.81,7.3352,9.2475,6.7556,5.8781,8.0859,7.0265,16.2715,11.0883,0.0
6.8147,6.6123,8.2951,10.7685,12.5808,9.759,9.1878,6.2225,8.7039,6.3008,6.5075,6.3301,7.3217,10.7044,6.6486,6.4318,7.3423,7.8766,9.9221,12.8206,9.9129,6.9903,6.7924,8.6347,6.452,6.1564,7.5899,8.7389,6.494,10.3278,7.2003,6.3507,14.4947,11.4375,8.5534,6.2896,9.8432,6.1013,9.9495,6.1472,7.0288,7.0713,8.7523,7.0324,6.1867,7.4708,6.8471,17.6288,14.0994,0.0
9.1264,4.4016,9.1036,10.8316,12.7869,11.6986,11.9448,4.1831,8.0526,5.2331,4.1719,4.3351,7.9672,9.031,5.6303,4.8768,7.1977,8.6036,10.4446,13.4123,10.4448,5.6766,5.9766,11.3309,6.4,4.3265,7.7769,7.4699,4.3298,9.8108,11.2664,4.4557,12.8999,11.37,7.9815,4.8962,8.4008,4.1587,9.7208,4.1877,4.9859,7.4687,9.4946,6.2518,3.9581,7.0939,6.0253,15.9429,11.4658,0.0
8.4251,5.2445,9.1349,10.2691,12.8178,11.6397,9.0596,4.6564,7.5822,5.0329,4.8627,5.9579,9.0839,9.3948,5.5814,5.7252,8.8461,8.5822,10.7703,12.608,9.7219,4.9783,5.8741,8.0099,6.8737,4.582,7.6758,7.1175,4.4193,11.3197,5.6418,6.7358,12.5262,11.1257,7.9294,5.3443,7.9732,4.3933,10.2184,5.361,6.4901,7.6093,8.7091,5.6308,4.5158,7.4429,5.9061,15.8863,10.8201,1.0
8.9034,4.1339,9.7359,10.3506,11.116,11.3704,12.2585,3.938,7.7374,4.13,4.4153,4.2356,8.6646,9.7691,5.2474,3.9891,7.9108,8.1609,10.5353,13.5977,10.1133,5.0579,6.5291,11.5309,6.7482,3.7223,7.6665,6.7187,3.7455,11.1533,5.2624,4.6255,13.3181,11.77,7.3418,5.8144,8.5439,3.7205,10.7997,3.8087,5.9515,6.6975,9.2079,5.1757,3.9151,7.931,5.3366,15.6987,10.9582,1.0
8.3587,3.8706,7.1862,9.3194,12.3209,11.1367,10.1934,3.8213,8.5784,4.2489,4.7617,5.2376,7.7758,8.4674,5.6445,4.1974,6.4908,7.7274,11.4914,10.9941,9.7849,4.2408,4.9838,8.2903,6.5863,3.8297,8.3948,7.423,3.5893,10.9209,6.375,8.1434,11.6245,10.2202,7.4447,4.5733,9.2196,3.7439,8.9347,3.8348,7.6066,5.6028,10.392,4.5997,3.6331,7.1227,5.1884,15.8009,10.7704,0.0
7.3288,4.5058,8.3519,9.5279,11.6408,10.8075,10.6048,4.2925,8.6199,4.8658,4.3827,6.337,5.9799,8.7045,5.602,4.643,6.9906,8.3365,10.5571,11.7733,9.0123,4.9649,5.5646,8.4648,6.1127,4.3478,8.7899,8.4234,4.1631,11.1564,5.0201,5.0493,12.061,10.5118,7.6786,4.908,9.4008,4.3687,9.7457,4.423,5.9113,6.8967,8.892,5.7156,4.3835,6.669,5.582,16.7263,11.0069,1.0
8.7661,5.9015,9.7075,10.8027,12.5738,11.0006,13.6459,5.8807,8.8185,5.9229,6.3303,6.1957,9.5043,9.6398,6.282,5.7885,7.4404,7.9954,10.5734,13.9516,8.9369,6.3783,6.7653,12.848,7.1267,5.7002,8.3727,8.0799,6.0972,9.401,6.1201,6.6594,12.9686,12.5735,8.3054,5.9789,8.8839,5.7228,10.9849,5.8014,6.3048,8.2933,10.7881,6.7244,5.9068,7.0936,6.8888,16.8583,10.6145,1.0
8.2303,5.2293,10.253,8.6478,12.085,11.979,7.7579,4.8933,9.462,6.3481,5.0302,6.1559,8.5661,8.6082,5.5062,5.2109,6.5713,8.0981,10.431,11.796,10.332,5.3453,6.0941,7.0747,6.4767,5.12,8.3558,7.2879,5.0628,11.439,5.9571,5.1605,12.193,10.771,6.9315,5.4053,8.0087,4.8705,9.9985,5.0297,8.6714,7.0718,11.394,5.6212,4.8937,7.7595,5.9294,14.87,11.644,1.0
7.7804,5.9361,9.727,8.3253,12.343,10.688,7.8799,4.9211,8.3875,5.2466,5.176,5.1449,8.4238,8.1674,5.5819,6.37,6.0185,7.6498,10.277,11.346,11.554,5.4669,5.9302,7.1,6.8988,5.1063,7.4322,7.2909,5.2679,9.696,6.5436,5.2954,11.906,9.8227,7.0355,5.7723,8.3511,4.8449,8.8976,4.9454,5.8565,10.778,10.359,5.8684,5.08,6.5971,5.9294,14.698,11.189,0.0
7.4389,4.8855,9.3483,10.0466,12.4424,10.4377,12.7218,4.7637,9.8018,5.2001,5.8543,4.9262,9.4956,8.8359,4.995,4.9724,6.4489,8.4086,10.1861,12.5692,11.0222,5.4334,5.6557,12.2899,6.3245,4.658,8.0297,7.5476,4.8745,10.3618,5.4756,5.1258,13.0977,11.0207,7.7616,5.4868,9.4616,4.3645,10.1712,4.5084,6.2743,7.4492,11.1692,6.1234,4.3374,6.591,6.2892,16.5317,10.5926,1.0
7.7921,5.8023,7.9066,8.7754,12.633,10.6,10.161,5.1316,8.7494,5.6345,5.5198,6.942,9.1484,9.2288,6.3409,5.9501,7.0477,7.1394,11.021,11.586,9.7335,5.5804,5.8317,10.048,6.449,5.458,7.9403,7.5596,5.2819,11.095,5.6069,6.0549,12.718,11.019,6.8751,5.5494,8.2403,5.3539,9.751,5.186,6.1941,6.7323,10.01,5.7917,5.3039,7.2185,6.0065,14.186,10.204,1.0
8.7056,5.7649,9.436,9.3106,11.544,12.069,9.6948,5.3555,8.2157,5.8864,5.8704,5.7812,8.2372,8.8304,6.1169,5.666,7.9486,8.6402,10.537,12.537,9.1915,5.8933,6.4387,10.465,6.9257,5.4137,7.6657,7.451,5.4419,10.559,6.3377,6.0298,12.016,10.687,7.6702,6.3159,8.0586,5.2818,11.034,5.4743,6.3965,8.0288,9.5058,6.1289,5.3769,7.3343,6.674,14.849,10.726,0.0
8.4156,5.9131,11.149,7.9371,12.62,11.861,8.1744,5.7361,7.4991,5.8674,5.8704,6.0347,7.2236,8.0882,6.359,5.9775,6.7904,8.2192,9.9793,10.874,9.6236,5.9571,6.3412,9.7979,7.5583,5.7719,7.9184,7.7797,5.7043,9.2947,6.7198,6.2144,10.506,9.1421,7.2515,6.0792,8.6157,5.674,9.7387,5.8166,6.5947,8.7161,9.1606,6.2994,5.6959,6.5797,6.556,15.025,12.169,0.0
8.7591,6.266,10.898,9.0636,12.577,11.481,9.5365,6.2328,7.7473,6.302,5.9622,6.0823,8.4818,9.4896,6.2843,6.4912,7.7653,8.3202,10.221,12.345,10.348,6.4715,7.0767,10.902,7.4945,7.3184,7.7342,7.9154,6.2016,10.832,6.6973,6.7428,12.673,11.265,7.9165,6.1261,8.2906,6.4745,10.939,6.3875,6.4357,7.5292,10.207,6.9999,5.6083,8.288,7.2473,13.921,11.156,0.0
8.1016,5.534,9.179,9.9415,12.064,10.522,11.76,4.7667,8.361,5.1789,4.8844,5.2038,7.0053,9.7788,5.7784,5.4662,7.4449,7.8613,10.001,13.824,10.764,5.2183,5.6709,12.672,6.7128,4.796,6.9975,7.6563,4.7476,11.549,7.4048,5.0345,14.044,12.264,6.6926,5.5412,8.1362,4.76,10.45,5.0171,5.5876,6.7601,9.8339,6.0385,4.8857,7.2678,6.5089,15.048,12.211,0.0
8.0449,5.8377,9.4292,9.0092,12.45,11.076,8.343,5.6108,9.3741,5.7322,5.5818,5.8176,9.6488,8.9155,6.2121,5.9523,6.8004,7.4837,9.9403,11.716,11.593,5.7609,6.4213,8.2914,7.1777,5.6829,8.5468,7.74,5.6592,10.101,8.751,5.8198,12.241,10.773,6.9796,6.4501,8.9309,5.5737,9.6526,5.7323,6.6615,6.2827,9.7437,5.836,5.5944,7.3087,6.2281,13.528,10.516,0.0
8.4483,5.9338,11.491,8.4712,11.945,11.598,8.8585,5.2441,7.6166,5.9853,5.3636,5.6933,6.9087,8.7456,5.8917,5.6643,6.7724,8.5474,10.3,11.27,10.918,5.8247,6.1692,9.7505,7.1539,5.4626,8.0913,8.1432,5.2669,9.4594,10.964,5.8685,11.842,10.483,7.4671,5.8579,8.3655,5.2152,9.6344,5.3245,6.0263,7.2973,8.5582,6.4913,5.3148,7.1217,6.6414,15.383,11.099,0.0
