0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
7.981,4.7827,8.1666,5.4043,5.6004,7.079,7.2013,4.6654,8.6156,6.0846,5.8316,10.8628,5.4078,9.5703,8.5523,11.5649,4.6438,7.7426,8.6314,5.3301,6.4894,5.9044,7.9837,5.7149,7.194,11.0367,10.4001,9.9935,10.7418,7.9228,5.3484,6.1148,10.5495,9.0305,11.6294,6.7773,10.2878,11.1881,7.3652,9.3052,11.2784,6.9356,9.4416,5.1041,5.8112,10.8501,6.5269,4.6321,1.0
7.2962,4.84,10.068,5.1055,8.4365,7.8588,6.5542,4.4358,7.9522,5.9867,5.6845,10.8155,5.5317,8.7593,8.6554,10.2727,4.5549,8.6421,9.251,5.8305,5.5414,5.2485,5.1987,5.1128,6.4597,11.8569,10.2329,8.0387,10.2437,7.7401,6.6085,6.0403,11.1992,8.4789,11.637,6.2324,10.1244,10.8867,7.9105,8.0969,10.0766,8.9068,6.7182,4.661,7.0198,11.239,6.0259,4.5084,1.0
6.4464,4.9354,8.7691,5.3099,4.9567,7.7011,5.9243,4.5014,9.6733,6.7496,5.3466,11.3166,5.253,10.0975,7.682,11.087,4.2859,8.2269,9.4977,5.9143,7.0983,5.0233,5.9591,4.929,7.3598,10.3904,10.7594,9.6869,10.9185,6.4505,5.2281,6.2638,10.3503,7.8759,11.7619,7.0539,9.5448,7.8208,7.8762,8.9309,10.9267,7.0243,9.7864,5.0118,5.9088,10.7913,7.4584,4.3667,0.0
7.8938,5.2162,8.8955,6.1794,5.3881,6.8315,6.5511,5.2077,9.1135,7.9107,5.7655,11.105,5.6167,9.8644,8.4857,11.1061,5.1064,8.6939,9.3902,5.3007,6.7545,5.8611,8.5017,5.4977,7.1022,10.827,10.9964,9.4034,11.7556,12.4349,5.6693,6.5627,10.9178,8.6939,11.637,6.8881,9.2292,7.9922,8.1322,9.9674,11.1715,7.7545,8.713,5.2184,5.6946,10.7287,5.9004,5.6485,1.0
6.086,4.7276,8.9067,5.9324,4.7979,8.1591,6.938,4.6347,9.2266,7.4387,6.1047,10.3952,5.2733,10.3588,7.3499,11.5037,4.4847,8.2543,8.8257,5.4671,6.5,6.1507,6.8677,5.6784,8.1983,12.0523,11.0804,9.9053,11.5403,5.4055,7.1495,6.2618,10.0816,8.2608,11.4664,7.7207,8.0441,8.9843,7.768,9.7755,10.4671,7.0527,9.7619,5.5592,5.8319,11.6334,7.0476,4.7557,1.0
10.5921,5.0414,8.7396,5.9814,7.9028,7.8838,5.7147,4.8161,8.4645,5.8232,6.0373,10.4694,5.5204,9.605,8.6595,10.4333,4.8039,9.2148,10.0321,5.4813,5.6077,5.647,6.5295,5.5966,6.8317,10.2032,11.0116,9.711,10.3074,9.7673,5.5901,5.5713,11.0018,8.8586,11.2362,5.5605,10.832,10.1624,6.9986,8.6987,9.7676,7.9259,9.2419,5.0892,6.9146,9.4987,5.8602,4.9156,1.0
7.6614,5.0016,8.397,5.8288,5.7261,8.1768,6.7274,4.729,9.1183,5.9636,6.692,9.4599,5.3414,10.7784,8.6908,11.0966,4.7882,7.9842,8.3422,5.676,5.1428,5.7683,6.4624,5.4816,7.7664,11.629,10.381,8.3119,10.0573,5.9869,7.2288,6.9056,10.1979,8.2105,11.0635,7.8336,10.5543,8.4538,6.8738,8.2198,10.2,7.5152,9.426,5.5244,7.1685,11.5019,7.5113,4.8875,0.0
8.2485,4.5914,8.9863,4.7864,4.7833,8.085,6.4266,4.157,9.2029,5.5101,5.4264,11.1115,4.9346,8.0851,7.9277,11.4559,4.0808,8.3294,10.1916,5.4486,6.1436,5.0035,6.9455,4.9828,7.4532,8.9982,10.8779,9.5236,11.1377,8.0809,4.7722,5.345,11.122,8.46,11.6229,5.6804,9.6498,7.7261,7.4,9.1258,10.8956,6.8937,7.344,4.5051,5.1971,10.2599,5.3425,4.1726,1.0
8.5691,4.9947,8.4572,6.2219,6.5958,8.1832,6.1613,4.6613,9.3559,5.7466,5.7156,9.9248,5.4777,7.9849,7.9693,9.8197,4.558,7.6959,8.1853,5.5085,5.528,5.5864,6.357,5.0623,6.1201,12.1663,10.4489,8.0656,9.8198,7.7185,5.1968,5.5914,11.121,10.181,10.8973,5.4039,10.2616,10.1435,7.3745,8.1737,8.9583,9.1855,7.3675,4.9929,7.3398,11.4155,8.0525,4.7759,0.0
7.1407,4.7494,8.7243,5.7622,5.2946,7.003,6.0721,4.4297,8.7344,5.8112,6.071,11.0178,5.0852,7.9502,7.4988,10.8481,4.3968,9.6585,9.8883,5.54,7.0974,5.7411,7.6607,5.3246,8.5072,9.7676,11.1674,9.9856,11.3983,6.7707,5.3181,6.8597,9.8462,8.2251,10.944,5.2535,7.9006,8.012,8.6172,8.9703,10.8859,7.2147,7.9384,4.7703,5.4634,11.0836,7.2858,4.5597,1.0
